"Checkbox","Prebook Description","Special Order Qty","Item No","Substituted Item","Qty","Order Multiple","Average Sales Last 4 Weeks","On Hold","Promotion Lift %","Wholesale Discount %","Retail Price","Net Wholesale Price","Wholesale Price","Order Line Type","DMIN Default","OSTAT New","NAV Order No","Days Until out of Stock","Days in Stock","Average Sales Last 13 Weeks","Allowed Dmin Change","Life Cycle Status","Line Up Status","Sales Last Week","Forecast for Order Period","4 Week Forecast","Days in Stock Order","Special Order No","Un-Scheduled Order","Web Title","Forecast + Safety Stock","Promotional Demand","Label","Pet Size","Life Stage","Product Type","Merchandise Division","Department","Category","Sub-Category","Undelivered","Constrained","Brand","DMIN New","DMAX New","Order Id","Item Id","Store No","Store","Warehouse No","Order Date","Picking Date","Est. Delivery Date","Warehouse","Extended Net Wholesale Price","Extended Retail Price","Transferred Date","Created","Constrained Recommended Qty","Item Description","UnConstrained Qty","Qty On Hand","Weight","Volume","Pallets","Open sales order quantity","Order Period","Order Exceptions","Days until safety stock on hand","Original Item No","Purchase Units","In Promotion","Additional Lead Time","Cost of Sales Last Week","End of order period","Comment","NBO","Gross Margin %","WOSUnconstrained","WOSconstrained","Wholesale Gross Margin %","Order Qty Last Week","Stock Total"
"","Prebook 2026 Essentials Cat Tree","","7346469","","0","1","0","","0","0","50","26.1","26.1","Scheduled Order","1","Auto","PRE-10348375","0","0","0","All","NLST","REG-1","0","0","0","0","","true","","0","0","PRIVATE LABEL","","","FURNITURE","Cat","Hardlines","General Merchandise","Furniture","0","No","ESSENTIALS","1","999999","353235","74409266","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-07","","2026-08-31","GTA Warehouse","0","0","","2026-08-10","0","ESN CT GREY MLTI-LVL TREE 36IN","0","0","","","","","07 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","47.8","",""
"","","","1000100","39005","0","1","0.25","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.08","All","LST","REG-1","0","0.01","0.0511","0","","false","","12","0","PRIVATE LABEL","","ALL","NATURAL/HOLISTIC","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","11136","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT CK&R SMP 4OZ","0","12","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","52","52","97.992","",""
"","","","1000104","39001","0","1","0.25","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.08","All","LST","REG-1","1","0.01","0.0201","0","","false","","16","0","PRIVATE LABEL","","ALL","GRAIN-FREE","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","13421","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT GF SMP 4OZ","0","16","","","","","21 Aug 2026 - "," ","","","0","0","0","0.05","","","false","","52","52","97.992","",""
"","","","1000112","39015","0","1","0.75","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.23","All","LST","REG-1","0","0.08","0.2655","0","","false","","9","0","PRIVATE LABEL","","ADULT","GRAIN-FREE","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","15704","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT HWGT SMP 4OZ","0","9","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","39","39","97.992","",""
"","","","1000116","39011","0","1","0.25","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.08","All","LST","REG-1","0","0.01","0.0287","0","","false","","17","0","PRIVATE LABEL","","ALL","NATURAL/HOLISTIC","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","17953","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT L&R SMP 4OZ","0","17","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","52","52","97.992","",""
"","","","1000120","39012","0","1","0.25","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.08","All","LST","REG-1","1","0.01","0.057","0","","false","","14","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","20240","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT LID GP&DK SMP 4OZ","0","14","","","","","21 Aug 2026 - "," ","","","0","0","0","0.05","","","false","","52","52","97.992","",""
"","","","1000124","39006","0","1","0.5","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.15","All","LST","REG-1","1","0.02","0.0545","0","","false","","13","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","22513","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT LID SL SMP 4OZ","0","13","","","","","21 Aug 2026 - "," ","","","0","0","0","0.05","","","false","","52","52","97.992","",""
"","","","1000128","39014","0","1","0.25","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.15","All","LST","REG-1","1","0.01","0.0256","0","","false","","9","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","24800","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT LID CK&SP SMP 4OZ","0","9","","","","","21 Aug 2026 - "," ","","","0","0","0","0.05","","","false","","52","52","97.992","",""
"","","","1000132","39003","0","1","0.25","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0.08","All","LST","REG-1","0","0.01","0.0197","0","","false","","11","0","PRIVATE LABEL","","ALL","LIMITED INGREDIENTS","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","26491","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT LID TURKEY SMP 4OZ","0","11","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","52","52","97.992","",""
"","","","1000134","39017","0","1","0","","0","","2.49","0.05","0.05","Scheduled Order","1","Auto","210260299","0","0","0","All","LST","REG-1","0","0.04","0.1557","0","","false","","29","0","PRIVATE LABEL","","KITTEN","GRAIN-FREE","Cat","Consumables","Food","Natural Enhanced","0","No","PERFORMATRIN ULTRA","1","999999","355142","27565","2356","LAMBTON MALL SARNIA","W-ON1","2026-08-21","2026-08-24","2026-08-25","GTA Warehouse","0","0","","2026-08-21","0","PERF ULT CT GF KIT SMP 4OZ","0","29","","","","","21 Aug 2026 - "," ","","","0","0","0","0","","","false","","0","0","97.992","",""
